Id;Name;StartDate;CreatedAt;Status;Error;EndDate;ConfigType;Provider;ModelName;SpentTokens
e217a3a7-e50f-4097-9889-5272b4bd5202;PostTagProcessingJob;2026-04-14 01:14:11.195007+00;2026-04-14 01:14:11.195007+00;1;"";2026-04-14 01:31:45.466573+00;Hybrid;Ollama;ilyagusev/saiga_llama3;586133
b3b9ea1b-e8c1-4aef-878e-35a13da4ab95;PostTagProcessingJob;2026-04-14 00:32:23.653764+00;2026-04-14 00:32:23.653764+00;1;"";2026-04-14 00:53:43.710384+00;Hybrid;Ollama;ilyagusev/saiga_llama3;619647
1633c501-3d3a-448f-9f95-36c4a129a0f4;ClusterCommentTrendProcessingJob;2026-04-14 07:36:57.395996+00;2026-04-14 07:36:57.395996+00;1;"";2026-04-14 08:02:48.995373+00;Hybrid;Ollama;ilyagusev/saiga_llama3;169544
7781523e-5e1d-408f-acb9-76c910ed02b8;PostTagProcessingJob;2026-04-14 02:08:41.756448+00;2026-04-14 02:08:41.756448+00;1;"";2026-04-14 02:26:14.605415+00;Hybrid;Ollama;ilyagusev/saiga_llama3;657432
"032dd236-7dc6-4756-9e20-36ffaf70003c";PostEmotionalAnalysisProcessingJob;2026-04-14 00:12:43.367662+00;2026-04-14 00:12:43.367662+00;1;"";2026-04-14 01:24:46.490561+00;Hybrid;Ollama;ilyagusev/saiga_llama3;795089
7d029721-780b-4447-9993-d9e0da607947;PostTagProcessingJob;2026-04-14 05:34:32.142417+00;2026-04-14 05:34:32.142417+00;1;"";2026-04-14 05:52:58.179451+00;Hybrid;Ollama;ilyagusev/saiga_llama3;463491
f2c168d6-8a17-4a3b-aaaa-002ece1152e6;ClusterCommentTrendProcessingJob;2026-04-14 06:25:38.275977+00;2026-04-14 06:25:38.275977+00;1;"";2026-04-14 06:45:17.667658+00;Hybrid;Ollama;ilyagusev/saiga_llama3;119121
96df394a-7f4f-40bf-9c77-9fd217ec9d9f;ClusterCommentTrendProcessingJob;2026-04-14 04:05:11.924803+00;2026-04-14 04:05:11.924803+00;1;"";2026-04-14 04:26:17.339445+00;Hybrid;Ollama;ilyagusev/saiga_llama3;141465
258c61b0-2377-4c83-a535-83445b7682d8;PostTagProcessingJob;2026-04-14 07:44:00.750007+00;2026-04-14 07:44:00.750007+00;1;"";2026-04-14 08:12:00.976396+00;Hybrid;Ollama;ilyagusev/saiga_llama3;492241
aabf37f3-15a1-45c8-abec-90c9f9966c11;ClusterCommentTrendProcessingJob;2026-04-14 04:45:21.400598+00;2026-04-14 04:45:21.400598+00;1;"";2026-04-14 05:05:39.560417+00;Hybrid;Ollama;ilyagusev/saiga_llama3;133593
dbe27a36-d03b-4f68-93b8-f6bdddef31a3;PostEmotionalAnalysisProcessingJob;2026-04-14 08:11:39.077766+00;2026-04-14 08:11:39.077766+00;1;"";2026-04-14 09:01:03.515101+00;Hybrid;Ollama;ilyagusev/saiga_llama3;604028
feafdc6d-3f34-4062-8ded-8d37ed483602;ClusterCommentTrendProcessingJob;2026-04-14 01:10:23.620984+00;2026-04-14 01:10:23.620984+00;1;"";2026-04-14 01:32:15.568366+00;Hybrid;Ollama;ilyagusev/saiga_llama3;177043
2f5fa2b6-f587-4799-aae6-3608e843af57;ClusterCommentTrendProcessingJob;2026-04-14 03:46:01.571523+00;2026-04-14 03:46:01.571523+00;1;"";2026-04-14 04:05:11.922125+00;Hybrid;Ollama;ilyagusev/saiga_llama3;124121
c0ebde6a-86d9-4487-9122-b531b4f3571c;PostTagProcessingJob;2026-04-14 07:23:41.414546+00;2026-04-14 07:23:41.414546+00;1;"";2026-04-14 07:44:00.746482+00;Hybrid;Ollama;ilyagusev/saiga_llama3;520322
8e0f2f16-819c-4caf-8f56-f4e2d4d120a9;PostEmotionalAnalysisProcessingJob;2026-04-14 07:16:57.441443+00;2026-04-14 07:16:57.441443+00;1;"";2026-04-14 08:11:39.074269+00;Hybrid;Ollama;ilyagusev/saiga_llama3;601125
552e4fe5-25bc-4239-b82e-a3c43885a209;ClusterMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 04:21:41.281803+00;2026-04-14 04:21:41.281803+00;1;"";2026-04-14 06:12:17.865787+00;Hybrid;Ollama;ilyagusev/saiga_llama3;1298288
54a6734e-d661-42bf-a01f-bc103cfd08a6;ClusterCommentTrendProcessingJob;2026-04-14 03:10:56.398351+00;2026-04-14 03:10:56.398351+00;1;"";2026-04-14 03:30:00.336913+00;Hybrid;Ollama;ilyagusev/saiga_llama3;141201
