Id;Name;StartDate;EndDate;Status;Error;Metrics
4440af06-60f9-47c2-889b-b8a5a8fe3fc7;ClusterCommentTrendProcessingJob;2026-04-14 07:36:57.391659+00;2026-04-14 08:02:48.796258+00;1;"";"Суммарное количество обработанных инфоповодов: 1000
                    Всего проанализировано комментариев: 8438
                    Среднее количество комментариев на инфоповод: 8.44
                    Количество LLM запросов: 395
                    Суммарное время LLM: 955400 мс
                    Среднее время LLM запроса: 2418.7 мс
                    Доля пустых или слишком коротких трендов (<10 слов): 2.28%"
66e90414-a61b-408a-b0f5-44e85e3738e7;ClusterizationJob;2026-04-14 07:31:57.378671+00;2026-04-14 07:31:57.396645+00;1;"";""
9510e433-c371-4321-9389-c66fd7d1e51d;PostTagProcessingJob;2026-04-14 07:23:41.411328+00;2026-04-14 07:44:00.740732+00;1;"";"
            Суммарное количество протегированных постов: 1500
            Доля успешных обработок постов: 98.20%
            Доля постов с 2-4 тегами: 1.13%
            Доля постов с 1 тегом: 0.67%
            Доля сломанных постов (0 тегов): 0.00%
            Доля протегированных новых постов за два дня: 75.36%
            Среднее время от появления поста до тегирования: 33.4 мин
            БД:           1.97% / ( 24029 мс / 1521 запросов)
            OpenSearch:   0.29% / (  3490 мс /  69 запросов)
            LLM:         84.63% / (1031955 мс / 1500 запросов)
            Среднее время LLM запроса: 688.0 мс"
5dd57d46-736f-4d3c-b33f-7da5c4845114;PostEmotionalAnalysisProcessingJob;2026-04-14 07:16:57.438576+00;2026-04-14 08:11:39.045325+00;1;"";"Суммарное количество обработанных постов: 1500
                            Доля постов с очень коротким текстом (<5 слов): 360 (24.00%)
                            Среднее время LLM запроса: 2136.4 мс
                            Суммарное время всех LLM запросов: 3204627 мс
                            Общее количество LLM запросов: 1500"
ce67e2fb-5977-499b-bee4-054017ac6fe2;TelegramPostCommentTrendProcessingJob;2026-04-14 07:16:57.394373+00;2026-04-14 08:52:49.89632+00;1;"";"Суммарное количество обработанных постов: 1986
                    Среднее количество комментариев на один пост: 6.76
                    Общее количество постов для всех отслеживаний:346048
                    Доля пустых или слишком коротких трендов (<10 слов): 61 (3.07%)
                    Среднее время LLM запроса: 2519.6 мс
                    Суммарное время всех LLM запросов: 5003951 мс
                    Общее количество LLM запросов: 1986"
"071476a4-c282-4e1f-8619-94b812b729f0";PostTagProcessingJob;2026-04-14 07:11:57.383629+00;2026-04-14 07:23:41.398721+00;1;"";"
            Суммарное количество протегированных постов: 1500
            Доля успешных обработок постов: 98.13%
            Доля постов с 2-4 тегами: 1.73%
            Доля постов с 1 тегом: 0.13%
            Доля сломанных постов (0 тегов): 0.00%
            Доля протегированных новых постов за два дня: 75.32%
            Среднее время от появления поста до тегирования: 25.5 мин
            БД:           2.06% / ( 14523 мс / 1521 запросов)
            OpenSearch:   0.70% / (  4925 мс /  69 запросов)
            LLM:         79.63% / (560575 мс / 1500 запросов)
            Среднее время LLM запроса: 373.7 мс"
3618b35e-b035-4516-a793-b6595ca02e77;ClusterizationJob;2026-04-14 07:11:57.38305+00;2026-04-14 07:11:57.415185+00;1;"";""
982c49b7-cd67-48be-a7a8-7704b0f809ff;TelegramPostOpenSearchIndexationJob;2026-04-14 07:07:27.397497+00;2026-04-14 09:12:07.504169+00;1;"";Суммарное количество обработанных постов: 257503
4eba4f27-a3e9-4fcf-896a-0af051eab373;TelegramProcessingJob;2026-04-14 07:07:00.126798+00;2026-04-14 07:36:40.0437+00;1;"";"Количество активных источников для сбора: 7 269
Количество полностью обработанных источников: 6 928
Количество источников к которым было подключение: 6 927
Общее количество использованных аккаунтов: 151
Суммарное количество новых постов: 3 096
Суммарное количество всех постов: 239 971
Суммарное количество смен прокси: 76
Количество уникальных прокси: 4
Среднее количество источников на один прокси: 1 819,5
Медианный пинг прокси: 4 мс
Доля источников со сменой прокси: 0,1%"
73c41cf3-1775-49c2-9aff-91c3265f0081;PostTagProcessingJob;2026-04-14 06:51:43.713333+00;2026-04-14 07:06:59.023378+00;3;Остановка приложения;"
                Суммарное количество протегированных постов: 750
                Доля успешных обработок постов: 99.20%
                Доля постов с 2-4 тегами: 0.67%
                Доля постов с 1 тегом: 0.13%
                Доля сломанных постов (0 тегов): 0.00%
                Среднее время от появления поста до тегирования: 21.8 мин
                LLM запросов: 750
                (Временные метрики будут доступны после завершения)"
